5, 43.09951604746614, 21.983189012397787
5, 43.19779491919601, 24.540832230692388
5, 43.19874736813471, 23.422185377357224
5, 43.06735628975652, 22.363488180109925
5, 44.51456237044387, 31.04480519753777
5, 44.575497363314916, 32.31524183423453
5, 48.57980986675436, 33.54049971425263
5, 48.69234082570598, 33.386019816402424
7.5, 45.77825615422684, 53.272985560789806
7.5, 45.899635649146006, 50.09727167050963
15, 45.05581220003762, 42.78698552484204
15, 45.213887473753196, 37.68393661561305
15, 49.85655234082487, 34.58150803114478
2.5331274993881223, 42.5, 29.15826367462462
5.898680502275129, 45, 37.7196534124036
13.359578424398562, 45, 29.443627995899448
5.515372037269001, 47.5, 26.263145778665717
5.4129521177911535, 47.5, 28.540860865321918
10, 47.34988212524435, 36.81134011709344
10, 47.17942855058487, 39.59863022452919
10, 47.36993548696899, 34.02405000965763
10, 46.84854808212825, 49.0754165898108
10, 47.339855444382025, 36.81134011709344
10, 47.70582929585678, 32.35167594519618
10, 48.337510190183075, 26.219637708837524
10, 48.673403999070864, 25.662179687350374
10, 47.71084263628794, 32.90913396668333
10, 46.52769429453394, 68.58644734186117
10, 46.43745416677304, 75.83340162119418
10, 49.16471136132465, 21.759973536940265
10, 48.73857742467596, 23.432347601401716
10, 46.467534209360004, 68.58644734186117
10, 46.60790774143251, 65.79915723442542
